"1";"1";"Journey";"Journey_self_titled.jpg"
"2";"1";"Look into the Future";"440px-Journey_Look_Future.jpg"
"3";"1";"Next";"Journey_Next.jpg"
"4";"1";"Infinity";"Journey_Infinity.jpg"
"5";"1";"Evolution";"Journey_Evolution.jpg"
"6";"1";"Departure";"Journey_Departure.jpg"
"7";"1";"Escape";"JourneyEscapealbumcover.jpg"
"8";"1";"Frontiers";"Jfrontiers.jpg"
"9";"1";"Raised On Radio";"Raised_on_Radio.jpg"
"10";"1";"Trial by Fire";"Journeytrial.jpg"
"11";"1";"Arrival";"Journeyarrival.jpg"
"12";"1";"Generations";"Generations-Journey.jpg"
"13";"1";"Revelation";"440px-Journey-Revelation.jpg"
"14";"1";"Eclipse";"Journey-Eclipse.jpg"
"1";"Journey"
"102";"1";"10";"Colors of the Spirit";"5:41"
"103";"1";"10";"When I Think of You";"4:21"
"104";"1";"10";"Easy to Fall";"5:15"
"105";"1";"10";"Can't Tame the Lion";"4:32"
"106";"1";"10";"It's Just the Rain";"5:19"
"107";"1";"10";"Trial by Fire";"4:41"
"108";"1";"10";"Baby I'm a Leavin' You";"2:49"
"109";"1";"10";"I Can See It in Your Eyes";"4:12"
"110";"1";"11";"Higher Place";"5:10"
"111";"1";"11";"All the Way";"3:35"
"112";"1";"11";"Signs of Life";"4:54"
"113";"1";"11";"All the Things";"4:24"
"114";"1";"11";"Loved by You";"4:03"
"115";"1";"11";"Livin' to Do";"6:25"
"116";"1";"11";"World Gone Wild";"6:00"
"117";"1";"11";"I Got a Reason";"4:20"
"118";"1";"11";"With Your Love";"4:25"
"119";"1";"11";"Lifetime of Dreams";"5:29"
"120";"1";"11";"Live and Breathe";"5:15"
"121";"1";"11";"Nothin' Comes Close";"5:41"
"122";"1";"11";"To Be Alive Again";"4:22"
"123";"1";"11";"Kiss Me Softly";"4:48"
"124";"1";"11";"We Will Meet Again";"5:06"
"125";"1";"12";"Faith in the Heartland";"6:56"
"126";"1";"12";"The Place in Your Heart";"4:20"
"127";"1";"12";"A Better Life";"5:40"
"128";"1";"12";"Every Generation";"5:52"
"129";"1";"12";"Butterfly (She Flies Alone)";"5:56"
"130";"1";"12";"Believe";"5:41"
"131";"1";"12";"Knowing That You Love Me";"5:21"
"132";"1";"12";"Out of Harms Way";"5:14"
"133";"1";"12";"In Self-Defense";"3:10"
"134";"1";"12";"Better Together";"5:05"
"135";"1";"12";"Gone Crazy";"4:04"
"136";"1";"12";"Beyond the Clouds";"6:54"
"137";"1";"12";"Never Too Late";"4:59"
"138";"1";"12";"Pride of the Family";"4:00"
"139";"1";"13";"Never Walk Away";"4:19"
"140";"1";"13";"Like a Sunshower";"4:29"
"141";"1";"13";"Change for the Better";"5:52"
"142";"1";"13";"Wildest Dream";"5:02"
"143";"1";"13";"Faith in the Heartland";"6:18"
"144";"1";"13";"After All These Years";"4:10"
"145";"1";"13";"Where Did I Lose Your Love";"5:02"
"146";"1";"13";"What I Needed";"5:28"
"147";"1";"13";"What It Takes to Win";"5:23"
"148";"1";"13";"Turn Down the World Tonight";"4:56"
"149";"1";"13";"The Journey (Revelation)";"5:25"
"150";"1";"13";"Let It Take You Back";"4:59"
"151";"1";"13";"The Place in Your Heart";"4:45"
"152";"1";"14";"City of Hope";"6:02"
"153";"1";"14";"Edge of the Moment";"5:27"
"154";"1";"14";"Chain of Love";"6:10"
"155";"1";"14";"Tantra";"6:27"
"156";"1";"14";"Anything Is Possible";"5:21"
"157";"1";"14";"Resonate";"5:11"
"158";"1";"14";"She's a Mystery";"6:41"
"159";"1";"14";"Human Feel";"6:44"
"160";"1";"14";"Ritual";"4:57"
"161";"1";"14";"To Whom It May Concern";"5:15"
"162";"1";"14";"Someone";"4:35"
"163";"1";"14";"Venus";"3:34"
